"Code","Name","Sector","Source"
"AYLS","PT Agro Yasa Lestari Tbk","Consumer Staples","stockanalysis:company"
"BABP","PT Bank MNC Internasional Tbk","Financials","stockanalysis:company"
"BABY","PT Multitrend Indo Tbk","Consumer Discretionary","stockanalysis:company"
"BACA","PT Bank Capital Indonesia Tbk","Financials","stockanalysis:company"
"BAIK","PT Bersama Mencapai Puncak Tbk","Consumer Discretionary","stockanalysis:company"
"BAJA","PT Saranacentral Bajatama Tbk","Materials","stockanalysis:company"
"BALI","PT Bali Towerindo Sentra Tbk","Communication Services","stockanalysis:company"
"BANK","PT Bank Aladin Syariah Tbk","Financials","stockanalysis:company"
"BAPA","PT Bekasi Asri Pemula Tbk","Real Estate","stockanalysis:company"
"BAPI","PT Bhakti Agung Propertindo Tbk","Real Estate","stockanalysis:company"
"BATA","PT Sepatu Bata Tbk.","Consumer Discretionary","stockanalysis:company"
"BATR","PT Benteng Api Technic Tbk","Materials","stockanalysis:company"
"BAUT","PT Mitra Angkasa Sejahtera Tbk","Industrials","stockanalysis:company"
"BAYU","PT Bayu Buana Tbk","Consumer Discretionary","stockanalysis:company"
"BBCA","PT Bank Central Asia Tbk","Financials","stockanalysis:company"
"BBHI","PT Allo Bank Indonesia Tbk","Financials","stockanalysis:company"
"BBKP","PT Bank KB Indonesia Tbk","Financials","stockanalysis:company"
"BBLD","PT Buana Finance Tbk","Financials","stockanalysis:company"
"BBMD","PT Bank Mestika Dharma Tbk","Financials","stockanalysis:company"
"BBNI","PT Bank Negara Indonesia (Persero) Tbk","Financials","stockanalysis:company"
"BBRI","PT Bank Rakyat Indonesia (Persero) Tbk","Financials","stockanalysis:company"
"BBRM","PT Pelayaran Nasional Bina Buana Raya Tbk","Industrials","stockanalysis:company"
"BBSI","PT Krom Bank Indonesia Tbk","Financials","stockanalysis:company"
"BBSS","PT Bumi Benowo Sukses Sejahtera Tbk","Industrials","stockanalysis:company"
"BBTN","PT Bank Tabungan Negara (Persero) Tbk","Financials","stockanalysis:company"
"BBYB","PT Bank Neo Commerce Tbk","Financials","stockanalysis:company"
"BCAP","PT MNC Kapital Indonesia Tbk","Financials","stockanalysis:company"
"BCIC","PT Bank JTrust Indonesia Tbk","Financials","stockanalysis:company"
"BCIP","PT Bumi Citra Permai Tbk","Real Estate","stockanalysis:company"
"BDKR","PT Berdikari Pondasi Perkasa Tbk","Industrials","stockanalysis:company"
"BDMN","PT Bank Danamon Indonesia Tbk","Financials","stockanalysis:company"
"BEBS","PT Berkah Beton Sadaya Tbk","Materials","stockanalysis:company"
"BEEF","PT Estika Tata Tiara Tbk","Consumer Staples","stockanalysis:company"
